1,"[2, 22, 21, 34, 19]"
2,"[1, 22, 19, 34, 21]"
4,"[489, 111, 260, 174, 127]"
6,"[118, 116, 510, 117, 500]"
7,"[431, 448, 411, 456, 407]"
8,"[62, 294, 521, 176, 462]"
9,"[441, 337, 148, 500, 328]"
11,"[420, 74, 341, 494, 377]"
12,"[119, 295, 97, 166, 129]"
13,"[45, 44, 43, 42, 41]"
14,"[356, 507, 340, 264, 269]"
15,"[68, 169, 521, 121, 413]"
16,"[270, 472, 17, 60, 48]"
17,"[472, 270, 16, 60, 404]"
18,"[84, 25, 353, 473, 243]"
19,"[404, 167, 114, 34, 270]"
20,"[231, 256, 21, 36, 34]"
21,"[22, 20, 256, 231, 34]"
22,"[21, 34, 231, 20, 256]"
24,"[270, 404, 472, 17, 16]"
25,"[353, 84, 18, 473, 65]"
28,"[273, 32, 47, 83, 80]"
32,"[83, 47, 46, 28, 273]"
33,"[35, 36, 37, 34, 125]"
34,"[36, 33, 35, 37, 256]"
35,"[33, 36, 37, 125, 34]"
36,"[33, 35, 34, 37, 125]"
37,"[125, 48, 35, 33, 36]"
40,"[43, 42, 41, 237, 44]"
41,"[42, 44, 45, 43, 40]"
42,"[41, 44, 45, 43, 40]"
43,"[40, 42, 41, 44, 45]"
44,"[45, 42, 41, 43, 40]"
45,"[44, 42, 41, 43, 40]"
46,"[47, 83, 32, 45, 44]"
47,"[46, 83, 32, 273, 28]"
48,"[125, 37, 35, 60, 33]"
60,"[48, 17, 472, 16, 270]"
62,"[8, 176, 294, 521, 462]"
64,"[78, 272, 190, 271, 220]"
65,"[353, 84, 25, 243, 266]"
67,"[397, 371, 229, 396, 408]"
68,"[413, 121, 169, 500, 521]"
70,"[114, 17, 472, 173, 270]"
73,"[237, 43, 40, 41, 42]"
74,"[11, 420, 201, 341, 494]"
78,"[64, 190, 272, 522, 220]"
80,"[522, 271, 530, 220, 273]"
83,"[45, 44, 41, 42, 273]"
84,"[353, 18, 25, 473, 243]"
86,"[192, 181, 231, 280, 20]"
87,"[494, 341, 201, 399, 420]"
90,"[13, 265, 376, 483, 457]"
97,"[119, 273, 28, 295, 129]"
111,"[260, 489, 174, 4, 127]"
114,"[186, 474, 173, 70, 417]"
116,"[6, 118, 510, 117, 315]"
117,"[328, 500, 9, 118, 6]"
118,"[6, 117, 328, 510, 116]"
119,"[12, 97, 129, 295, 166]"
120,"[122, 126, 123, 231, 181]"
121,"[68, 521, 413, 8, 62]"
122,"[120, 126, 123, 181, 231]"
123,"[120, 122, 126, 231, 22]"
125,"[48, 37, 35, 33, 36]"
126,"[122, 120, 123, 231, 181]"
127,"[174, 111, 260, 489, 4]"
129,"[166, 97, 119, 12, 295]"
137,"[274, 286, 161, 323, 182]"
148,"[196, 420, 11, 412, 74]"
151,"[451, 185, 437, 281, 491]"
158,"[231, 181, 192, 20, 280]"
159,"[25, 14, 65, 353, 269]"
160,"[471, 481, 358, 509, 284]"
161,"[323, 274, 286, 137, 182]"
166,"[129, 12, 119, 97, 295]"
167,"[35, 36, 33, 37, 125]"
169,"[412, 420, 500, 494, 196]"
173,"[474, 186, 417, 114, 70]"
174,"[260, 489, 111, 127, 4]"
176,"[462, 62, 294, 521, 8]"
181,"[184, 197, 78, 64, 451]"
182,"[323, 161, 274, 286, 137]"
184,"[78, 197, 64, 370, 451]"
185,"[451, 151, 342, 437, 197]"
186,"[474, 173, 417, 114, 224]"
187,"[486, 364, 438, 321, 421]"
190,"[271, 522, 272, 530, 220]"
191,"[335, 398, 334, 427, 487]"
192,"[181, 231, 20, 280, 21]"
195,"[213, 357, 409, 365, 203]"
196,"[148, 74, 420, 11, 412]"
197,"[451, 185, 151, 437, 184]"
201,"[341, 74, 494, 399, 11]"
203,"[357, 213, 234, 365, 195]"
