425,"[396, 341, 229, 399, 494]"
426,"[302, 424, 423, 261, 434]"
427,"[335, 454, 358, 398, 334]"
428,"[454, 335, 358, 398, 427]"
429,"[527, 457, 430, 459, 376]"
430,"[527, 237, 73, 376, 43]"
431,"[448, 7, 411, 456, 407]"
434,"[275, 455, 345, 359, 484]"
436,"[97, 273, 530, 80, 119]"
437,"[281, 151, 491, 479, 451]"
438,"[296, 187, 279, 486, 421]"
439,"[395, 284, 223, 292, 502]"
440,"[314, 421, 261, 321, 423]"
441,"[9, 337, 412, 510, 379]"
443,"[231, 192, 181, 280, 20]"
448,"[431, 7, 456, 411, 407]"
451,"[185, 151, 437, 342, 197]"
452,"[239, 384, 409, 213, 357]"
454,"[358, 427, 335, 509, 398]"
455,"[345, 275, 484, 434, 423]"
456,"[411, 431, 448, 229, 397]"
457,"[265, 376, 389, 483, 237]"
459,"[519, 491, 488, 281, 437]"
462,"[176, 521, 294, 8, 399]"
471,"[509, 223, 292, 284, 481]"
472,"[17, 270, 16, 60, 404]"
473,"[353, 25, 84, 18, 269]"
474,"[186, 173, 417, 114, 224]"
479,"[281, 437, 491, 151, 185]"
481,"[284, 223, 292, 471, 395]"
483,"[457, 265, 90, 376, 389]"
484,"[345, 275, 455, 434, 423]"
486,"[187, 364, 438, 321, 421]"
487,"[427, 334, 335, 191, 504]"
488,"[491, 459, 272, 281, 220]"
489,"[4, 111, 174, 260, 127]"
491,"[437, 281, 488, 459, 479]"
492,"[360, 418, 234, 213, 203]"
494,"[341, 201, 420, 74, 11]"
497,"[277, 359, 434, 345, 455]"
500,"[328, 117, 9, 337, 169]"
501,"[502, 439, 395, 336, 481]"
502,"[395, 501, 336, 439, 223]"
504,"[335, 428, 398, 334, 487]"
507,"[14, 356, 264, 269, 266]"
509,"[471, 223, 292, 284, 358]"
510,"[441, 379, 9, 6, 397]"
516,"[2, 4, 6, 7, 8]"
519,"[459, 491, 488, 281, 479]"
521,"[462, 294, 8, 176, 62]"
522,"[271, 190, 272, 220, 530]"
527,"[430, 237, 488, 322, 73]"
530,"[190, 522, 272, 271, 220]"
532,"[350, 209, 367, 382, 365]"
